序号,导演姓名,性别,活跃地区,代表作品,上映年份,作品类型,故事发生时代,故事发生地区,第一主演性别,番位分类,番位判定依据,资料来源/判断依据,来源链接,选择理由
1,张艺谋,男,大陆,幸福时光,2000,剧情/喜剧,当代/1990年代末,中国东北城市/片中未明示,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%B9%B8%E7%A6%8F%E6%97%B6%E5%85%89%20%E5%BC%A0%E8%89%BA%E8%B0%8B,https://movie.douban.com/subject_search?search_text=%E5%B9%B8%E7%A6%8F%E6%97%B6%E5%85%89%20%E5%BC%A0%E8%89%BA%E8%B0%8B,第五代导演2000年后现实题材代表
2,张艺谋,男,大陆,英雄,2002,武侠/动作/历史,战国末期,秦国、赵国等七国空间,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、百科/影评资料、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E8%8B%B1%E9%9B%84%20%E5%BC%A0%E8%89%BA%E8%B0%8B,https://movie.douban.com/subject_search?search_text=%E8%8B%B1%E9%9B%84%20%E5%BC%A0%E8%89%BA%E8%B0%8B,新世纪华语大片工业代表
3,张艺谋,男,大陆,十面埋伏,2004,武侠/爱情/动作,唐代大中年间/公元859年前后,中国北方州县与飞刀门活动地,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%8D%81%E9%9D%A2%E5%9F%8B%E4%BC%8F%20%E5%BC%A0%E8%89%BA%E8%B0%8B,https://movie.douban.com/subject_search?search_text=%E5%8D%81%E9%9D%A2%E5%9F%8B%E4%BC%8F%20%E5%BC%A0%E8%89%BA%E8%B0%8B,商业武侠大片代表
4,张艺谋,男,大陆,满城尽带黄金甲,2006,古装/剧情,五代十国/后唐宫廷寓言,古代宫廷/王城,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E6%BB%A1%E5%9F%8E%E5%B0%BD%E5%B8%A6%E9%BB%84%E9%87%91%E7%94%B2%20%E5%BC%A0%E8%89%BA%E8%B0%8B,https://movie.douban.com/subject_search?search_text=%E6%BB%A1%E5%9F%8E%E5%B0%BD%E5%B8%A6%E9%BB%84%E9%87%91%E7%94%B2%20%E5%BC%A0%E8%89%BA%E8%B0%8B,古装宫廷大片代表
5,张艺谋,男,大陆,山楂树之恋,2010,爱情/剧情,20世纪70年代/文革后期,湖北宜昌西坪村一带,女性,第一番位为女性,公开主演表/剧情简介补判为女性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%B1%B1%E6%A5%82%E6%A0%91%E4%B9%8B%E6%81%8B%20%E5%BC%A0%E8%89%BA%E8%B0%8B,https://movie.douban.com/subject_search?search_text=%E5%B1%B1%E6%A5%82%E6%A0%91%E4%B9%8B%E6%81%8B%20%E5%BC%A0%E8%89%BA%E8%B0%8B,怀旧爱情片代表
6,张艺谋,男,大陆,金陵十三钗,2011,战争/历史/剧情,1937年南京大屠杀时期,江苏南京/教堂,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E9%87%91%E9%99%B5%E5%8D%81%E4%B8%89%E9%92%97%20%E5%BC%A0%E8%89%BA%E8%B0%8B,https://movie.douban.com/subject_search?search_text=%E9%87%91%E9%99%B5%E5%8D%81%E4%B8%89%E9%92%97%20%E5%BC%A0%E8%89%BA%E8%B0%8B,战争历史题材代表
7,张艺谋,男,大陆,归来,2014,剧情/历史,20世纪70年代至90年代,中国城市/家庭与文革记忆空间,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%BD%92%E6%9D%A5%20%E5%BC%A0%E8%89%BA%E8%B0%8B,https://movie.douban.com/subject_search?search_text=%E5%BD%92%E6%9D%A5%20%E5%BC%A0%E8%89%BA%E8%B0%8B,文革记忆与家庭伦理代表
8,张艺谋,男,大陆,影,2018,武侠/古装/动作,架空古代/战国式权谋空间,沛国、境州等虚构古国,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%BD%B1%20%E5%BC%A0%E8%89%BA%E8%B0%8B,https://movie.douban.com/subject_search?search_text=%E5%BD%B1%20%E5%BC%A0%E8%89%BA%E8%B0%8B,水墨美学商业片代表
9,张艺谋,男,大陆,一秒钟,2020,剧情/历史,文革时期,中国西北戈壁/电影放映队,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E4%B8%80%E7%A7%92%E9%92%9F%20%E5%BC%A0%E8%89%BA%E8%B0%8B,https://movie.douban.com/subject_search?search_text=%E4%B8%80%E7%A7%92%E9%92%9F%20%E5%BC%A0%E8%89%BA%E8%B0%8B,电影记忆题材代表
10,张艺谋,男,大陆,悬崖之上,2021,谍战/剧情/动作,20世纪30年代/伪满洲国时期,哈尔滨,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E6%82%AC%E5%B4%96%E4%B9%8B%E4%B8%8A%20%E5%BC%A0%E8%89%BA%E8%B0%8B,https://movie.douban.com/subject_search?search_text=%E6%82%AC%E5%B4%96%E4%B9%8B%E4%B8%8A%20%E5%BC%A0%E8%89%BA%E8%B0%8B,新主流谍战片代表
