配对编号,同题材标签,组别,导演姓名,影片片名,上映年份,女性主角/女性中心角色,明确年龄或年龄段,来源链接,女主角身份设定,故事结局类型,结局细分标签,故事结局流向概述
1,母女亲情/时间回望,女导演作品,贾玲,你好，李焕英,2021,贾晓玲/李焕英,贾晓玲为成年女儿；1981年李焕英约20岁出头,https://movie.douban.com/subject_search?search_text=%E4%BD%A0%E5%A5%BD%EF%BC%8C%E6%9D%8E%E7%84%95%E8%8B%B1,成年女儿；青年工厂女工/母亲,死亡,死亡/亲情和解,贾晓玲确认母亲早已知晓穿越并主动成全女儿，最终回到现实接受母亲已逝的事实。
1,母女亲情/时间回望,男导演对照,冯小刚,唐山大地震,2010,方登,童年约7岁；成年约32岁,https://movie.douban.com/subject_search?search_text=%E5%94%90%E5%B1%B1%E5%A4%A7%E5%9C%B0%E9%9C%87,地震幸存女儿/成年养女,回归家庭/家庭修复,家庭修复,方登在多年创伤后与亲生母亲重逢，并在汶川救援语境中完成迟来的理解与和解。
2,30+女性自我重启,女导演作品,贾玲,热辣滚烫,2024,乐莹,32岁,https://movie.douban.com/subject_search?search_text=%E7%83%AD%E8%BE%A3%E6%BB%9A%E7%83%AB,32岁无业女性/拳击训练者,自我实现,自我实现,乐莹未以爱情或胜负作为终点，而是在拳击赛后确认“赢一次”的自我主体性。
2,30+女性自我重启,男导演对照,滕华涛,失恋33天,2011,黄小仙,27岁,https://movie.douban.com/subject_search?search_text=%E5%A4%B1%E6%81%8B33%E5%A4%A9,都市婚庆策划/失恋女性,获得爱情,获得爱情,黄小仙走出前任背叛，与王小贱发展出新的亲密关系，结局落在情感重启。
3,青年女性承担家庭责任,女导演作品,殷若昕,我的姐姐,2021,安然,约24岁/研究生阶段,https://movie.douban.com/subject_search?search_text=%E6%88%91%E7%9A%84%E5%A7%90%E5%A7%90,护士/准研究生/长姐,回归家庭/家庭修复,开放式/家庭责任,安然没有被结局明确固定为牺牲或彻底离开，影片以她与弟弟相处收束，保留继续选择的空间。
3,青年女性承担家庭责任,男导演对照,曹保平,狗十三,2013,李玩,13岁,https://movie.douban.com/subject_search?search_text=%E7%8B%97%E5%8D%81%E4%B8%89,初中女生/被家庭规训的女儿,陷于困境,陷于困境,李玩在成人秩序中学会沉默与迎合，结尾吃狗肉象征个人意志被家庭规训压低。
4,校园/青春爱情,女导演作品,赵薇,致我们终将逝去的青春,2013,郑微,大学阶段，约18-22岁,https://movie.douban.com/subject_search?search_text=%E8%87%B4%E6%88%91%E4%BB%AC%E7%BB%88%E5%B0%86%E9%80%9D%E5%8E%BB%E7%9A%84%E9%9D%92%E6%98%A5,大学生/后来的都市职业女性,分离/告别,分离/青春告别,郑微在成年后拥有职业生活，但与陈孝正等青春关系错过，结局指向对青春的告别。
4,校园/青春爱情,男导演对照,九把刀,那些年，我们一起追的女孩,2011,沈佳宜,高中生，约17-18岁,https://movie.douban.com/subject_search?search_text=%E9%82%A3%E4%BA%9B%E5%B9%B4%EF%BC%8C%E6%88%91%E4%BB%AC%E4%B8%80%E8%B5%B7%E8%BF%BD%E7%9A%84%E5%A5%B3%E5%AD%A9,高中女生/后来的新娘,分离/告别,分离/青春告别,沈佳宜与他人结婚，柯景腾以祝福完成青春暗恋的告别。
5,少女怀孕/小城成长,女导演作品,李玉,红颜,2005,小云,16岁,https://movie.douban.com/subject_search?search_text=%E7%BA%A2%E9%A2%9C,小城未成年母亲,陷于困境,陷于困境/开放式,小云的怀孕、生育与亲密关系被家庭和社会压力裹挟，结尾不是明确解放，而是创伤后的继续生活。
5,少女怀孕/小城成长,男导演对照,张艺谋,山楂树之恋,2010,静秋,高中生，约16-18岁,https://movie.douban.com/subject_search?search_text=%E5%B1%B1%E6%A5%82%E6%A0%91%E4%B9%8B%E6%81%8B,高中女生/纯爱叙事女主,死亡,死亡/爱情失去,静秋与老三的爱情因老三病逝终结，结局以失去与追忆收束。
